debug: Token file: ./pytorch.token
debug: Read dummy DCAP token
debug: enclave created:
debug:     base:           0x0000000000000000
debug:     size:           0x0000000400000000
debug:     misc_select:    0x00000000
debug:     attr.flags:     0x0000000000000005
debug:     attr.xfrm:      0x00000000000000e7
debug:     ssa_frame_size: 4
debug:     isv_prod_id:    0x00000000
debug:     isv_svn:        0x00000000
debug: adding pages to enclave: 0x3ffc44000-0x400000000 [REG:R--] (manifest) measured
debug: adding pages to enclave: 0x3ff444000-0x3ffc44000 [REG:RW-] (ssa) measured
debug: adding pages to enclave: 0x3ff344000-0x3ff444000 [TCS:---] (tcs) measured
debug: adding pages to enclave: 0x3ff244000-0x3ff344000 [REG:RW-] (tls) measured
debug: adding pages to enclave: 0x3ff204000-0x3ff244000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ff1c4000-0x3ff204000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ff184000-0x3ff1c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ff144000-0x3ff184000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ff104000-0x3ff144000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ff0c4000-0x3ff104000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ff084000-0x3ff0c4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ff044000-0x3ff084000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3ff004000-0x3ff044000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fefc4000-0x3ff004000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fef84000-0x3fefc4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fef44000-0x3fef84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fef04000-0x3fef44000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3feec4000-0x3fef04000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fee84000-0x3feec4000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fee44000-0x3fee84000 [REG:RW-] (stack) measured
debug: adding pages to enclave: 0x3fee04000-0x3fee44000 [REG:RW-] (stack) measured
